file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Duplicate Assert,"{'line': 116, 'column': 2, 'index': 3420}","  114 | it(""Duration.fromDurationLike returns a Duration from millis"", () => {
  115 |   const dur = Duration.fromDurationLike(1000);
> 116 |   expect(dur).toBeInstanceOf(Duration);
      |  ^ Duplicate Assert
  117 |   expect(dur).toMatchInlineSnapshot(`""PT1S""`);
  118 | });
  119 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Duplicate Assert,"{'line': 117, 'column': 2, 'index': 3460}","  115 |   const dur = Duration.fromDurationLike(1000);
  116 |   expect(dur).toBeInstanceOf(Duration);
> 117 |   expect(dur).toMatchInlineSnapshot(`""PT1S""`);
      |  ^ Duplicate Assert
  118 | });
  119 |
  120 | it(""Duration.fromDurationLike returns a Duration from object"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 18, 'column': 25, 'index': 339}","  16 |     milliseconds: 7,
  17 |   });
> 18 |   expect(dur.years).toBe(1);
     |                         ^ Magic Number
  19 |   expect(dur.months).toBe(2);
  20 |   expect(dur.days).toBe(3);
  21 |   expect(dur.hours).toBe(4);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 19, 'column': 26, 'index': 369}","  17 |   });
  18 |   expect(dur.years).toBe(1);
> 19 |   expect(dur.months).toBe(2);
     |                          ^ Magic Number
  20 |   expect(dur.days).toBe(3);
  21 |   expect(dur.hours).toBe(4);
  22 |   expect(dur.minutes).toBe(5);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 20, 'column': 24, 'index': 397}","  18 |   expect(dur.years).toBe(1);
  19 |   expect(dur.months).toBe(2);
> 20 |   expect(dur.days).toBe(3);
     |                        ^ Magic Number
  21 |   expect(dur.hours).toBe(4);
  22 |   expect(dur.minutes).toBe(5);
  23 |   expect(dur.seconds).toBe(6);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 21, 'column': 25, 'index': 426}","  19 |   expect(dur.months).toBe(2);
  20 |   expect(dur.days).toBe(3);
> 21 |   expect(dur.hours).toBe(4);
     |                         ^ Magic Number
  22 |   expect(dur.minutes).toBe(5);
  23 |   expect(dur.seconds).toBe(6);
  24 |   expect(dur.milliseconds).toBe(7);"
